,TIME,GEO,AGEDEF,AGE,UNIT,SEX,Value
98,2008,Czech Republic,Age reached during the year,Total,Number,Total,108267.0
99,2008,Denmark,Age reached during the year,Total,Number,Total,57357.0
100,2008,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,682146.0
101,2008,Estonia,Age reached during the year,Total,Number,Total,3671.0
102,2008,Ireland,Age reached during the year,Total,Number,Total,82592.0
103,2008,Greece,Age reached during the year,Total,Number,Total,66529.0
104,2008,Spain,Age reached during the year,Total,Number,Total,599075.0
105,2008,France,Age reached during the year,Total,Number,Total,296608.0
106,2008,Croatia,Age reached during the year,Total,Number,Total,
107,2008,Italy,Age reached during the year,Total,Number,Total,534712.0
108,2008,Cyprus,Age reached during the year,Total,Number,Total,21060.0
109,2008,Latvia,Age reached during the year,Total,Number,Total,4678.0
110,2008,Lithuania,Age reached during the year,Total,Number,Total,9297.0
111,2008,Luxembourg,Age reached during the year,Total,Number,Total,17758.0
112,2008,Hungary,Age reached during the year,Total,Number,Total,37652.0
113,2008,Malta,Age reached during the year,Total,Number,Total,6043.0
114,2008,Netherlands,Age reached during the year,Total,Number,Total,143516.0
115,2008,Austria,Age reached during the year,Total,Number,Total,73772.0
116,2008,Poland,Age reached during the year,Total,Number,Total,15275.0
117,2008,Portugal,Age reached during the year,Total,Number,Total,29718.0
118,2008,Romania,Age reached during the year,Total,Number,Total,138929.0
119,2008,Slovenia,Age reached during the year,Total,Number,Total,30693.0
120,2008,Slovakia,Age reached during the year,Total,Number,Total,17820.0
121,2008,Finland,Age reached during the year,Total,Number,Total,29114.0
122,2008,Sweden,Age reached during the year,Total,Number,Total,101171.0
123,2008,United Kingdom,Age reached during the year,Total,Number,Total,590242.0
124,2008,Iceland,Age reached during the year,Total,Number,Total,10288.0
125,2008,Liechtenstein,Age reached during the year,Total,Number,Total,578.0
126,2008,Norway,Age reached during the year,Total,Number,Total,58123.0
127,2008,Switzerland,Age reached during the year,Total,Number,Total,184297.0
128,2009,Belgium,Age reached during the year,Total,Number,Total,
129,2009,Bulgaria,Age reached during the year,Total,Number,Total,
130,2009,Czech Republic,Age reached during the year,Total,Number,Total,75620.0
131,2009,Denmark,Age reached during the year,Total,Number,Total,51800.0
132,2009,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,346216.0
133,2009,Estonia,Age reached during the year,Total,Number,Total,3884.0
134,2009,Ireland,Age reached during the year,Total,Number,Total,50604.0
135,2009,Greece,Age reached during the year,Total,Number,Total,58613.0
136,2009,Spain,Age reached during the year,Total,Number,Total,392962.0
137,2009,France,Age reached during the year,Total,Number,Total,296970.0
138,2009,Croatia,Age reached during the year,Total,Number,Total,
139,2009,Italy,Age reached during the year,Total,Number,Total,442940.0
140,2009,Cyprus,Age reached during the year,Total,Number,Total,22581.0
141,2009,Latvia,Age reached during the year,Total,Number,Total,3731.0
142,2009,Lithuania,Age reached during the year,Total,Number,Total,6487.0
143,2009,Luxembourg,Age reached during the year,Total,Number,Total,15751.0
144,2009,Hungary,Age reached during the year,Total,Number,Total,27894.0
145,2009,Malta,Age reached during the year,Total,Number,Total,6161.0
146,2009,Netherlands,Age reached during the year,Total,Number,Total,122917.0
147,2009,Austria,Age reached during the year,Total,Number,Total,69295.0
148,2009,Poland,Age reached during the year,Total,Number,Total,189166.0
149,2009,Portugal,Age reached during the year,Total,Number,Total,32307.0
150,2009,Romania,Age reached during the year,Total,Number,Total,135844.0
151,2009,Slovenia,Age reached during the year,Total,Number,Total,30296.0
152,2009,Slovakia,Age reached during the year,Total,Number,Total,15643.0
153,2009,Finland,Age reached during the year,Total,Number,Total,26699.0
154,2009,Sweden,Age reached during the year,Total,Number,Total,102280.0
155,2009,United Kingdom,Age reached during the year,Total,Number,Total,566514.0
156,2009,Iceland,Age reached during the year,Total,Number,Total,3921.0
157,2009,Liechtenstein,Age reached during the year,Total,Number,Total,584.0
158,2009,Norway,Age reached during the year,Total,Number,Total,55953.0
159,2009,Switzerland,Age reached during the year,Total,Number,Total,160623.0
160,2010,Belgium,Age reached during the year,Total,Number,Total,135281.0
161,2010,Bulgaria,Age reached during the year,Total,Number,Total,
162,2010,Czech Republic,Age reached during the year,Total,Number,Total,48317.0
163,2010,Denmark,Age reached during the year,Total,Number,Total,52236.0
164,2010,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,404055.0
165,2010,Estonia,Age reached during the year,Total,Number,Total,2810.0
166,2010,Ireland,Age reached during the year,Total,Number,Total,52339.0
167,2010,Greece,Age reached during the year,Total,Number,Total,60462.0
168,2010,Spain,Age reached during the year,Total,Number,Total,360705.0
169,2010,France,Age reached during the year,Total,Number,Total,307111.0
170,2010,Croatia,Age reached during the year,Total,Number,Total,
171,2010,Italy,Age reached during the year,Total,Number,Total,458856.0
172,2010,Cyprus,Age reached during the year,Total,Number,Total,20206.0
173,2010,Latvia,Age reached during the year,Total,Number,Total,4011.0
174,2010,Lithuania,Age reached during the year,Total,Number,Total,5213.0
175,2010,Luxembourg,Age reached during the year,Total,Number,Total,16962.0
176,2010,Hungary,Age reached during the year,Total,Number,Total,25519.0
177,2010,Malta,Age reached during the year,Total,Number,Total,4275.0
178,2010,Netherlands,Age reached during the year,Total,Number,Total,126776.0
179,2010,Austria,Age reached during the year,Total,Number,Total,70978.0
180,2010,Poland,Age reached during the year,Total,Number,Total,155131.0
181,2010,Portugal,Age reached during the year,Total,Number,Total,27575.0
182,2010,Romania,Age reached during the year,Total,Number,Total,149885.0
183,2010,Slovenia,Age reached during the year,Total,Number,Total,15416.0
184,2010,Slovakia,Age reached during the year,Total,Number,Total,13770.0
185,2010,Finland,Age reached during the year,Total,Number,Total,25636.0
186,2010,Sweden,Age reached during the year,Total,Number,Total,98801.0
187,2010,United Kingdom,Age reached during the year,Total,Number,Total,590950.0
188,2010,Iceland,Age reached during the year,Total,Number,Total,3948.0
189,2010,Liechtenstein,Age reached during the year,Total,Number,Total,591.0
190,2010,Norway,Age reached during the year,Total,Number,Total,69214.0
191,2010,Switzerland,Age reached during the year,Total,Number,Total,161778.0
192,2011,Belgium,Age reached during the year,Total,Number,Total,144698.0
193,2011,Bulgaria,Age reached during the year,Total,Number,Total,
194,2011,Czech Republic,Age reached during the year,Total,Number,Total,27114.0
195,2011,Denmark,Age reached during the year,Total,Number,Total,52833.0
196,2011,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,489422.0
197,2011,Estonia,Age reached during the year,Total,Number,Total,3709.0
198,2011,Ireland,Age reached during the year,Total,Number,Total,53224.0
199,2011,Greece,Age reached during the year,Total,Number,Total,60089.0
200,2011,Spain,Age reached during the year,Total,Number,Total,371331.0
201,2011,France,Age reached during the year,Total,Number,Total,319816.0
