,TIME,GEO,CURRENCY,Value
201,,Hungary,Euro,293.08
202,,Malta,Euro,617.21
203,,Netherlands,Euro,1356.6
204,,Austria,Euro,
205,,Poland,Euro,335.99
206,,Portugal,Euro,497.0
207,,Romania,Euro,137.31
208,,Slovenia,Euro,566.5
209,,Slovakia,Euro,268.17
210,,Finland,Euro,
211,,Sweden,Euro,
212,,United Kingdom,Euro,1149.89
213,,Iceland,Euro,
214,,Norway,Euro,
215,,Switzerland,Euro,
216,,Montenegro,Euro,
217,,"Former Yugoslav Republic of Macedonia, the",Euro,
218,,Albania,Euro,
219,,Serbia,Euro,
220,,Turkey,Euro,330.54
221,,United States,Euro,643.24
222,,Belgium,Euro,1387.5
223,,Bulgaria,Euro,122.71
224,,Czech Republic,Euro,297.67
225,,Denmark,Euro,
226,,Germany (until 1990 former territory of the FRG),Euro,
227,,Estonia,Euro,278.02
228,,Ireland,Euro,1461.85
229,,Greece,Euro,817.83
230,,Spain,Euro,728.0
231,,France,Euro,1321.02
232,,Croatia,Euro,373.46
233,,Italy,Euro,
234,,Cyprus,Euro,
235,,Latvia,Euro,254.13
236,,Lithuania,Euro,231.7
237,,Luxembourg,Euro,1641.74
238,,Hungary,Euro,268.09
239,,Malta,Euro,634.88
240,,Netherlands,Euro,1381.2
241,,Austria,Euro,
242,,Poland,Euro,307.21
243,,Portugal,Euro,525.0
244,,Romania,Euro,149.16
245,,Slovenia,Euro,589.19
246,,Slovakia,Euro,295.5
247,,Finland,Euro,
248,,Sweden,Euro,
249,,United Kingdom,Euro,995.28
250,,Iceland,Euro,
251,,Norway,Euro,
252,,Switzerland,Euro,
253,,Montenegro,Euro,
254,,"Former Yugoslav Republic of Macedonia, the",Euro,
255,,Albania,Euro,
256,,Serbia,Euro,
257,,Turkey,Euro,309.94
258,,United States,Euro,815.79
259,,Belgium,Euro,1387.5
260,,Bulgaria,Euro,122.71
261,,Czech Republic,Euro,309.1
262,,Denmark,Euro,
263,,Germany (until 1990 former territory of the FRG),Euro,
264,,Estonia,Euro,278.02
265,,Ireland,Euro,1461.85
266,,Greece,Euro,862.82
267,,Spain,Euro,728.0
268,,France,Euro,1337.7
269,,Croatia,Euro,386.91
270,,Italy,Euro,
271,,Cyprus,Euro,
272,,Latvia,Euro,255.83
273,,Lithuania,Euro,231.7
274,,Luxembourg,Euro,1682.76
275,,Hungary,Euro,263.3
276,,Malta,Euro,634.88
277,,Netherlands,Euro,1398.6
278,,Austria,Euro,
279,,Poland,Euro,286.61
280,,Portugal,Euro,525.0
281,,Romania,Euro,142.61
282,,Slovenia,Euro,589.19
283,,Slovakia,Euro,295.5
284,,Finland,Euro,
285,,Sweden,Euro,
286,,United Kingdom,Euro,1112.55
287,,Iceland,Euro,
288,,Norway,Euro,
289,,Switzerland,Euro,
290,,Montenegro,Euro,
291,,"Former Yugoslav Republic of Macedonia, the",Euro,
292,,Albania,Euro,
293,,Serbia,Euro,
294,,Turkey,Euro,320.81
295,,United States,Euro,803.26
296,,Belgium,Euro,1387.5
297,,Bulgaria,Euro,122.71
298,,Czech Republic,Euro,302.19
299,,Denmark,Euro,
300,,Germany (until 1990 former territory of the FRG),Euro,
301,,Estonia,Euro,278.02
302,,Ireland,Euro,1461.85
303,,Greece,Euro,862.82
304,,Spain,Euro,738.85
305,,France,Euro,1343.77
306,,Croatia,Euro,385.48
307,,Italy,Euro,
308,,Cyprus,Euro,
309,,Latvia,Euro,253.77
310,,Lithuania,Euro,231.7
311,,Luxembourg,Euro,1682.76
312,,Hungary,Euro,271.8
