TIME,GEO,AGE,SEX,UNIT,Value,Flag and Footnotes
2008,France (metropolitan),Total,Total,Number,62134866,
2008,Croatia,Total,Total,Number,4311967,
2008,Italy,Total,Total,Number,58652875,
2008,Cyprus,Total,Total,Number,776333,
2008,Latvia,Total,Total,Number,2191810,
2008,Lithuania,Total,Total,Number,3212605,
2008,Luxembourg,Total,Total,Number,483799,
2008,Hungary,Total,Total,Number,10045401,
2008,Malta,Total,Total,Number,407832,
2008,Netherlands,Total,Total,Number,16405399,
2008,Austria,Total,Total,Number,8307989,
2008,Poland,Total,Total,Number,38115641,
2008,Portugal,Total,Total,Number,10553339,
2008,Romania,Total,Total,Number,20635460,
2008,Slovenia,Total,Total,Number,2010269,b
2008,Slovakia,Total,Total,Number,5376064,
2008,Finland,Total,Total,Number,5300484,
2008,Sweden,Total,Total,Number,9182927,
2008,United Kingdom,Total,Total,Number,61571647,
2008,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,505385019,
2008,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,501073052,
2008,European Free Trade Association,Total,Total,Number,12681480,
2008,Iceland,Total,Total,Number,315459,
2008,Liechtenstein,Total,Total,Number,35356,
2008,Norway,Total,Total,Number,4737171,
2008,Switzerland,Total,Total,Number,7593494,
2008,Montenegro,Total,Total,Number,615543,
2008,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2045177,
2008,Albania,Total,Total,Number,3170050,
2008,Serbia,Total,Total,Number,7365507,
2008,Turkey,Total,Total,Number,70586256,
2008,Andorra,Total,Total,Number,83137,
2008,Belarus,Total,Total,Number,9689770,
2008,Bosnia and Herzegovina,Total,Total,Number,3843846,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,2153139,
2008,Moldova,Total,Total,Number,3572703,
2008,Monaco,Total,Total,Number,,
2008,Russia,Total,Total,Number,142008838,
2008,San Marino,Total,Total,Number,32054,
2008,Ukraine,Total,Total,Number,46192309,
2008,Armenia,Total,Total,Number,3230086,
2008,Azerbaijan,Total,Total,Number,8629900,
2008,Georgia,Total,Total,Number,4382070,
2009,European Union (28 countries),Total,Total,Number,502090235,
2009,European Union (27 countries),Total,Total,Number,497780439,
2009,Euro area (19 countries),Total,Total,Number,334470255,
2009,Euro area (18 countries),Total,Total,Number,331286399,
2009,Belgium,Total,Total,Number,10753080,
2009,Bulgaria,Total,Total,Number,7467119,
2009,Czech Republic,Total,Total,Number,10425783,
2009,Denmark,Total,Total,Number,5511451,
2009,Germany (until 1990 former territory of the FRG),Total,Total,Number,82002356,
2009,Germany (including former GDR),Total,Total,Number,82002356,
2009,Estonia,Total,Total,Number,1335740,
2009,Ireland,Total,Total,Number,4521322,
2009,Greece,Total,Total,Number,11094745,
2009,Spain,Total,Total,Number,46239273,
2009,France,Total,Total,Number,64350226,
2009,France (metropolitan),Total,Total,Number,62465709,
2009,Croatia,Total,Total,Number,4309796,
2009,Italy,Total,Total,Number,59000586,
2009,Cyprus,Total,Total,Number,796930,
2009,Latvia,Total,Total,Number,2162834,
2009,Lithuania,Total,Total,Number,3183856,
2009,Luxembourg,Total,Total,Number,493500,
2009,Hungary,Total,Total,Number,10030975,
2009,Malta,Total,Total,Number,410926,
2009,Netherlands,Total,Total,Number,16485787,
2009,Austria,Total,Total,Number,8335003,
2009,Poland,Total,Total,Number,38135876,
2009,Portugal,Total,Total,Number,10563014,
2009,Romania,Total,Total,Number,20440290,
2009,Slovenia,Total,Total,Number,2032362,
2009,Slovakia,Total,Total,Number,5382401,
2009,Finland,Total,Total,Number,5326314,
2009,Sweden,Total,Total,Number,9256347,
2009,United Kingdom,Total,Total,Number,62042343,
2009,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,507244444,
2009,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,502934648,
2009,European Free Trade Association,Total,Total,Number,12856065,
2009,Iceland,Total,Total,Number,319368,
2009,Liechtenstein,Total,Total,Number,35589,
2009,Norway,Total,Total,Number,4799252,
2009,Switzerland,Total,Total,Number,7701856,
2009,Montenegro,Total,Total,Number,617157,
2009,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2048619,
2009,Albania,Total,Total,Number,3184701,
2009,Serbia,Total,Total,Number,7334937,
2009,Turkey,Total,Total,Number,71517100,
2009,Andorra,Total,Total,Number,84484,
2009,Belarus,Total,Total,Number,9671912,
2009,Bosnia and Herzegovina,Total,Total,Number,3843998,
2009,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,2180686,
2009,Moldova,Total,Total,Number,3567512,
2009,Monaco,Total,Total,Number,,
2009,Russia,Total,Total,Number,141903979,
2009,San Marino,Total,Total,Number,31269,
2009,Ukraine,Total,Total,Number,45963359,
2009,Armenia,Total,Total,Number,3237976,
2009,Azerbaijan,Total,Total,Number,8896900,
2009,Georgia,Total,Total,Number,4385429,
2010,European Union (28 countries),Total,Total,Number,503170618,b
2010,European Union (27 countries),Total,Total,Number,498867771,b
2010,Euro area (19 countries),Total,Total,Number,335266424,
2010,Euro area (18 countries),Total,Total,Number,332124448,
2010,Belgium,Total,Total,Number,10839905,
2010,Bulgaria,Total,Total,Number,7421766,
2010,Czech Republic,Total,Total,Number,10462088,
2010,Denmark,Total,Total,Number,5534738,
2010,Germany (until 1990 former territory of the FRG),Total,Total,Number,81802257,
2010,Germany (including former GDR),Total,Total,Number,81802257,
2010,Estonia,Total,Total,Number,1333290,
2010,Ireland,Total,Total,Number,4549428,
2010,Greece,Total,Total,Number,11119289,
2010,Spain,Total,Total,Number,46486619,
2010,France,Total,Total,Number,64658856,
2010,France (metropolitan),Total,Total,Number,62765235,
2010,Croatia,Total,Total,Number,4302847,
2010,Italy,Total,Total,Number,59190143,
2010,Cyprus,Total,Total,Number,819140,
2010,Latvia,Total,Total,Number,2120504,
2010,Lithuania,Total,Total,Number,3141976,
2010,Luxembourg,Total,Total,Number,502066,
2010,Hungary,Total,Total,Number,10014324,
2010,Malta,Total,Total,Number,414027,
2010,Netherlands,Total,Total,Number,16574989,
2010,Austria,Total,Total,Number,8351643,
2010,Poland,Total,Total,Number,38022869,
2010,Portugal,Total,Total,Number,10573479,
2010,Romania,Total,Total,Number,20294683,
2010,Slovenia,Total,Total,Number,2046976,
2010,Slovakia,Total,Total,Number,5390410,
2010,Finland,Total,Total,Number,5351427,
2010,Sweden,Total,Total,Number,9340682,
2010,United Kingdom,Total,Total,Number,62510197,
2010,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,508382341,b
2010,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,504079494,b
2010,European Free Trade Association,Total,Total,Number,12997529,
2010,Iceland,Total,Total,Number,317630,
2010,Liechtenstein,Total,Total,Number,35894,
2010,Norway,Total,Total,Number,4858199,
2010,Switzerland,Total,Total,Number,7785806,
2010,Montenegro,Total,Total,Number,619001,
2010,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2052722,
2010,Albania,Total,Total,Number,,
2010,Serbia,Total,Total,Number,7306677,
2010,Turkey,Total,Total,Number,72561312,
2010,Andorra,Total,Total,Number,84082,
2010,Belarus,Total,Total,Number,9480178,
2010,Bosnia and Herzegovina,Total,Total,Number,3844046,
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,2208107,
2010,Moldova,Total,Total,Number,3563695,
2010,Monaco,Total,Total,Number,,
2010,Russia,Total,Total,Number,141914509,
