TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value,Flag and Footnotes
2008,Denmark,Total,Total,From 18 to 34 years,Person,395,
2008,Denmark,Total,Total,35 years or over,Person,160,
2008,Denmark,Total,Males,Total,Person,435,
2008,Denmark,Total,Males,Less than 14 years,Person,10,
2008,Denmark,Total,Males,From 14 to 17 years,Person,40,
2008,Denmark,Total,Males,From 18 to 34 years,Person,290,
2008,Denmark,Total,Males,35 years or over,Person,95,
2008,Denmark,Total,Females,Total,Person,175,
2008,Denmark,Total,Females,Less than 14 years,Person,5,
2008,Denmark,Total,Females,From 14 to 17 years,Person,5,
2008,Denmark,Total,Females,From 18 to 34 years,Person,100,
2008,Denmark,Total,Females,35 years or over,Person,65,
2008,Denmark,Total,Unknown,Total,Person,,
2008,Denmark,Total,Unknown,Less than 14 years,Person,,
2008,Denmark,Total,Unknown,From 14 to 17 years,Person,,
2008,Denmark,Total,Unknown,From 18 to 34 years,Person,,
2008,Denmark,Total,Unknown,35 years or over,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Total,Total,Person,53695,
2008,Germany (until 1990 former territory of the FRG),Total,Total,Less than 14 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Total,From 14 to 17 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Total,From 18 to 34 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Total,35 years or over,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Males,Total,Person,53695,
2008,Germany (until 1990 former territory of the FRG),Total,Males,Less than 14 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Males,From 14 to 17 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Males,From 18 to 34 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Males,35 years or over,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Females,Total,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Females,Less than 14 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Females,From 14 to 17 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Females,From 18 to 34 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Females,35 years or over,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Unknown,Total,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Unknown,Less than 14 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Unknown,From 14 to 17 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Unknown,From 18 to 34 years,Person,,
2008,Germany (until 1990 former territory of the FRG),Total,Unknown,35 years or over,Person,,
2008,Estonia,Total,Total,Total,Person,1050,
2008,Estonia,Total,Total,Less than 14 years,Person,0,
2008,Estonia,Total,Total,From 14 to 17 years,Person,45,
2008,Estonia,Total,Total,From 18 to 34 years,Person,325,
2008,Estonia,Total,Total,35 years or over,Person,685,
2008,Estonia,Total,Males,Total,Person,705,
2008,Estonia,Total,Males,Less than 14 years,Person,0,
2008,Estonia,Total,Males,From 14 to 17 years,Person,15,
2008,Estonia,Total,Males,From 18 to 34 years,Person,245,
2008,Estonia,Total,Males,35 years or over,Person,445,
2008,Estonia,Total,Females,Total,Person,345,
2008,Estonia,Total,Females,Less than 14 years,Person,0,
2008,Estonia,Total,Females,From 14 to 17 years,Person,25,
2008,Estonia,Total,Females,From 18 to 34 years,Person,80,
2008,Estonia,Total,Females,35 years or over,Person,240,
2008,Estonia,Total,Unknown,Total,Person,,
2008,Estonia,Total,Unknown,Less than 14 years,Person,,
2008,Estonia,Total,Unknown,From 14 to 17 years,Person,,
2008,Estonia,Total,Unknown,From 18 to 34 years,Person,,
2008,Estonia,Total,Unknown,35 years or over,Person,,
2008,Ireland,Total,Total,Total,Person,3185,
2008,Ireland,Total,Total,Less than 14 years,Person,515,
2008,Ireland,Total,Total,From 14 to 17 years,Person,75,
2008,Ireland,Total,Total,From 18 to 34 years,Person,1745,
2008,Ireland,Total,Total,35 years or over,Person,850,
2008,Ireland,Total,Males,Total,Person,1990,
2008,Ireland,Total,Males,Less than 14 years,Person,255,
2008,Ireland,Total,Males,From 14 to 17 years,Person,40,
2008,Ireland,Total,Males,From 18 to 34 years,Person,1110,
2008,Ireland,Total,Males,35 years or over,Person,585,
2008,Ireland,Total,Females,Total,Person,1195,
2008,Ireland,Total,Females,Less than 14 years,Person,265,
2008,Ireland,Total,Females,From 14 to 17 years,Person,35,
2008,Ireland,Total,Females,From 18 to 34 years,Person,630,
2008,Ireland,Total,Females,35 years or over,Person,265,
2008,Ireland,Total,Unknown,Total,Person,,
2008,Ireland,Total,Unknown,Less than 14 years,Person,,
2008,Ireland,Total,Unknown,From 14 to 17 years,Person,,
2008,Ireland,Total,Unknown,From 18 to 34 years,Person,,
2008,Ireland,Total,Unknown,35 years or over,Person,,
2008,Greece,Total,Total,Total,Person,106715,
2008,Greece,Total,Total,Less than 14 years,Person,2575,
2008,Greece,Total,Total,From 14 to 17 years,Person,10545,
2008,Greece,Total,Total,From 18 to 34 years,Person,81335,
2008,Greece,Total,Total,35 years or over,Person,12260,
2008,Greece,Total,Males,Total,Person,99170,
2008,Greece,Total,Males,Less than 14 years,Person,1645,
2008,Greece,Total,Males,From 14 to 17 years,Person,10055,
2008,Greece,Total,Males,From 18 to 34 years,Person,76820,
2008,Greece,Total,Males,35 years or over,Person,10655,
2008,Greece,Total,Females,Total,Person,7545,
2008,Greece,Total,Females,Less than 14 years,Person,930,
2008,Greece,Total,Females,From 14 to 17 years,Person,490,
2008,Greece,Total,Females,From 18 to 34 years,Person,4515,
2008,Greece,Total,Females,35 years or over,Person,1610,
2008,Greece,Total,Unknown,Total,Person,,
2008,Greece,Total,Unknown,Less than 14 years,Person,,
2008,Greece,Total,Unknown,From 14 to 17 years,Person,,
2008,Greece,Total,Unknown,From 18 to 34 years,Person,,
2008,Greece,Total,Unknown,35 years or over,Person,,
2008,Spain,Total,Total,Total,Person,92730,
2008,Spain,Total,Total,Less than 14 years,Person,,
2008,Spain,Total,Total,From 14 to 17 years,Person,,
2008,Spain,Total,Total,From 18 to 34 years,Person,,
2008,Spain,Total,Total,35 years or over,Person,,
2008,Spain,Total,Males,Total,Person,92730,
2008,Spain,Total,Males,Less than 14 years,Person,,
2008,Spain,Total,Males,From 14 to 17 years,Person,,
2008,Spain,Total,Males,From 18 to 34 years,Person,,
2008,Spain,Total,Males,35 years or over,Person,,
2008,Spain,Total,Females,Total,Person,,
2008,Spain,Total,Females,Less than 14 years,Person,,
2008,Spain,Total,Females,From 14 to 17 years,Person,,
2008,Spain,Total,Females,From 18 to 34 years,Person,,
2008,Spain,Total,Females,35 years or over,Person,,
2008,Spain,Total,Unknown,Total,Person,,
2008,Spain,Total,Unknown,Less than 14 years,Person,,
2008,Spain,Total,Unknown,From 14 to 17 years,Person,,
2008,Spain,Total,Unknown,From 18 to 34 years,Person,,
2008,Spain,Total,Unknown,35 years or over,Person,,
2008,France,Total,Total,Total,Person,111690,
2008,France,Total,Total,Less than 14 years,Person,0,
2008,France,Total,Total,From 14 to 17 years,Person,6600,
2008,France,Total,Total,From 18 to 34 years,Person,105090,
2008,France,Total,Total,35 years or over,Person,0,
2008,France,Total,Males,Total,Person,104855,
2008,France,Total,Males,Less than 14 years,Person,0,
2008,France,Total,Males,From 14 to 17 years,Person,6400,
2008,France,Total,Males,From 18 to 34 years,Person,98455,
2008,France,Total,Males,35 years or over,Person,0,
2008,France,Total,Females,Total,Person,6840,
2008,France,Total,Females,Less than 14 years,Person,0,
2008,France,Total,Females,From 14 to 17 years,Person,200,
2008,France,Total,Females,From 18 to 34 years,Person,6635,
2008,France,Total,Females,35 years or over,Person,0,
2008,France,Total,Unknown,Total,Person,,
2008,France,Total,Unknown,Less than 14 years,Person,,
2008,France,Total,Unknown,From 14 to 17 years,Person,,
2008,France,Total,Unknown,From 18 to 34 years,Person,,
2008,France,Total,Unknown,35 years or over,Person,,
2008,Croatia,Total,Total,Total,Person,,
2008,Croatia,Total,Total,Less than 14 years,Person,,
2008,Croatia,Total,Total,From 14 to 17 years,Person,,
2008,Croatia,Total,Total,From 18 to 34 years,Person,,
2008,Croatia,Total,Total,35 years or over,Person,,
2008,Croatia,Total,Males,Total,Person,,
2008,Croatia,Total,Males,Less than 14 years,Person,,
2008,Croatia,Total,Males,From 14 to 17 years,Person,,
2008,Croatia,Total,Males,From 18 to 34 years,Person,,
2008,Croatia,Total,Males,35 years or over,Person,,
2008,Croatia,Total,Females,Total,Person,,
2008,Croatia,Total,Females,Less than 14 years,Person,,
2008,Croatia,Total,Females,From 14 to 17 years,Person,,
2008,Croatia,Total,Females,From 18 to 34 years,Person,,
2008,Croatia,Total,Females,35 years or over,Person,,
2008,Croatia,Total,Unknown,Total,Person,,
2008,Croatia,Total,Unknown,Less than 14 years,Person,,
2008,Croatia,Total,Unknown,From 14 to 17 years,Person,,
2008,Croatia,Total,Unknown,From 18 to 34 years,Person,,
2008,Croatia,Total,Unknown,35 years or over,Person,,
2008,Italy,Total,Total,Total,Person,68175,
2008,Italy,Total,Total,Less than 14 years,Person,0,
2008,Italy,Total,Total,From 14 to 17 years,Person,0,
2008,Italy,Total,Total,From 18 to 34 years,Person,54315,
2008,Italy,Total,Total,35 years or over,Person,13860,
2008,Italy,Total,Males,Total,Person,62535,
2008,Italy,Total,Males,Less than 14 years,Person,0,
2008,Italy,Total,Males,From 14 to 17 years,Person,0,
2008,Italy,Total,Males,From 18 to 34 years,Person,50455,
2008,Italy,Total,Males,35 years or over,Person,12085,
2008,Italy,Total,Females,Total,Person,5640,
2008,Italy,Total,Females,Less than 14 years,Person,0,
2008,Italy,Total,Females,From 14 to 17 years,Person,0,
2008,Italy,Total,Females,From 18 to 34 years,Person,3865,
2008,Italy,Total,Females,35 years or over,Person,1775,
2008,Italy,Total,Unknown,Total,Person,,
2008,Italy,Total,Unknown,Less than 14 years,Person,,
2008,Italy,Total,Unknown,From 14 to 17 years,Person,,
2008,Italy,Total,Unknown,From 18 to 34 years,Person,,
2008,Italy,Total,Unknown,35 years or over,Person,,
2008,Cyprus,Total,Total,Total,Person,7000,
2008,Cyprus,Total,Total,Less than 14 years,Person,290,
2008,Cyprus,Total,Total,From 14 to 17 years,Person,195,
2008,Cyprus,Total,Total,From 18 to 34 years,Person,4990,
2008,Cyprus,Total,Total,35 years or over,Person,1525,
2008,Cyprus,Total,Males,Total,Person,5880,
2008,Cyprus,Total,Males,Less than 14 years,Person,160,
2008,Cyprus,Total,Males,From 14 to 17 years,Person,150,
