TIME,GEO,AGEDEF,AGE,UNIT,SEX,Value,Flag and Footnotes
2008,Italy,Age reached during the year,Total,Number,Total,534712,b
2008,Cyprus,Age reached during the year,Total,Number,Total,21060,
2008,Latvia,Age reached during the year,Total,Number,Total,4678,
2008,Lithuania,Age reached during the year,Total,Number,Total,9297,
2008,Luxembourg,Age reached during the year,Total,Number,Total,17758,
2008,Hungary,Age reached during the year,Total,Number,Total,37652,b
2008,Malta,Age reached during the year,Total,Number,Total,6043,
2008,Netherlands,Age reached during the year,Total,Number,Total,143516,
2008,Austria,Age reached during the year,Total,Number,Total,73772,
2008,Poland,Age reached during the year,Total,Number,Total,15275,
2008,Portugal,Age reached during the year,Total,Number,Total,29718,
2008,Romania,Age reached during the year,Total,Number,Total,138929,b
2008,Slovenia,Age reached during the year,Total,Number,Total,30693,b
2008,Slovakia,Age reached during the year,Total,Number,Total,17820,b
2008,Finland,Age reached during the year,Total,Number,Total,29114,
2008,Sweden,Age reached during the year,Total,Number,Total,101171,
2008,United Kingdom,Age reached during the year,Total,Number,Total,590242,b
2008,Iceland,Age reached during the year,Total,Number,Total,10288,
2008,Liechtenstein,Age reached during the year,Total,Number,Total,578,b
2008,Norway,Age reached during the year,Total,Number,Total,58123,b
2008,Switzerland,Age reached during the year,Total,Number,Total,184297,
2009,Belgium,Age reached during the year,Total,Number,Total,,
2009,Bulgaria,Age reached during the year,Total,Number,Total,,
2009,Czech Republic,Age reached during the year,Total,Number,Total,75620,
2009,Denmark,Age reached during the year,Total,Number,Total,51800,
2009,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,346216,b
2009,Estonia,Age reached during the year,Total,Number,Total,3884,
2009,Ireland,Age reached during the year,Total,Number,Total,50604,
2009,Greece,Age reached during the year,Total,Number,Total,58613,
2009,Spain,Age reached during the year,Total,Number,Total,392962,
2009,France,Age reached during the year,Total,Number,Total,296970,
2009,Croatia,Age reached during the year,Total,Number,Total,,
2009,Italy,Age reached during the year,Total,Number,Total,442940,
2009,Cyprus,Age reached during the year,Total,Number,Total,22581,b
2009,Latvia,Age reached during the year,Total,Number,Total,3731,
2009,Lithuania,Age reached during the year,Total,Number,Total,6487,
2009,Luxembourg,Age reached during the year,Total,Number,Total,15751,
2009,Hungary,Age reached during the year,Total,Number,Total,27894,
2009,Malta,Age reached during the year,Total,Number,Total,6161,
2009,Netherlands,Age reached during the year,Total,Number,Total,122917,b
2009,Austria,Age reached during the year,Total,Number,Total,69295,
2009,Poland,Age reached during the year,Total,Number,Total,189166,b
2009,Portugal,Age reached during the year,Total,Number,Total,32307,
2009,Romania,Age reached during the year,Total,Number,Total,135844,
2009,Slovenia,Age reached during the year,Total,Number,Total,30296,
2009,Slovakia,Age reached during the year,Total,Number,Total,15643,
2009,Finland,Age reached during the year,Total,Number,Total,26699,
2009,Sweden,Age reached during the year,Total,Number,Total,102280,
2009,United Kingdom,Age reached during the year,Total,Number,Total,566514,
2009,Iceland,Age reached during the year,Total,Number,Total,3921,b
2009,Liechtenstein,Age reached during the year,Total,Number,Total,584,
2009,Norway,Age reached during the year,Total,Number,Total,55953,
2009,Switzerland,Age reached during the year,Total,Number,Total,160623,
2010,Belgium,Age reached during the year,Total,Number,Total,135281,b
2010,Bulgaria,Age reached during the year,Total,Number,Total,,
2010,Czech Republic,Age reached during the year,Total,Number,Total,48317,
2010,Denmark,Age reached during the year,Total,Number,Total,52236,
2010,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,404055,
2010,Estonia,Age reached during the year,Total,Number,Total,2810,
2010,Ireland,Age reached during the year,Total,Number,Total,52339,
2010,Greece,Age reached during the year,Total,Number,Total,60462,
2010,Spain,Age reached during the year,Total,Number,Total,360705,
2010,France,Age reached during the year,Total,Number,Total,307111,b
2010,Croatia,Age reached during the year,Total,Number,Total,,
