"TIME","GEO","CITIZEN","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2008","Czech Republic","Total","Females","From 14 to 17 years","Person","10",""
"2008","Czech Republic","Total","Females","From 18 to 34 years","Person","445",""
"2008","Czech Republic","Total","Females","35 years or over","Person","500",""
"2008","Czech Republic","Total","Unknown","Total","Person",":",""
"2008","Czech Republic","Total","Unknown","Less than 14 years","Person",":",""
"2008","Czech Republic","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Czech Republic","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Czech Republic","Total","Unknown","35 years or over","Person",":",""
"2008","Denmark","Total","Total","Total","Person","610",""
"2008","Denmark","Total","Total","Less than 14 years","Person","10",""
"2008","Denmark","Total","Total","From 14 to 17 years","Person","45",""
"2008","Denmark","Total","Total","From 18 to 34 years","Person","395",""
"2008","Denmark","Total","Total","35 years or over","Person","160",""
"2008","Denmark","Total","Males","Total","Person","435",""
"2008","Denmark","Total","Males","Less than 14 years","Person","10",""
"2008","Denmark","Total","Males","From 14 to 17 years","Person","40",""
"2008","Denmark","Total","Males","From 18 to 34 years","Person","290",""
"2008","Denmark","Total","Males","35 years or over","Person","95",""
"2008","Denmark","Total","Females","Total","Person","175",""
"2008","Denmark","Total","Females","Less than 14 years","Person","5",""
"2008","Denmark","Total","Females","From 14 to 17 years","Person","5",""
"2008","Denmark","Total","Females","From 18 to 34 years","Person","100",""
"2008","Denmark","Total","Females","35 years or over","Person","65",""
"2008","Denmark","Total","Unknown","Total","Person",":",""
"2008","Denmark","Total","Unknown","Less than 14 years","Person",":",""
"2008","Denmark","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Denmark","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Denmark","Total","Unknown","35 years or over","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Person","53,695",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Less than 14 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","From 14 to 17 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","From 18 to 34 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","35 years or over","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Males","Total","Person","53,695",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Males","Less than 14 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Males","From 14 to 17 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Males","From 18 to 34 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Males","35 years or over","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Females","Total","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Females","Less than 14 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Females","From 14 to 17 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Females","From 18 to 34 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Females","35 years or over","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Unknown","Total","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Unknown","Less than 14 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Unknown","35 years or over","Person",":",""
"2008","Estonia","Total","Total","Total","Person","1,050",""
"2008","Estonia","Total","Total","Less than 14 years","Person","0",""
"2008","Estonia","Total","Total","From 14 to 17 years","Person","45",""
"2008","Estonia","Total","Total","From 18 to 34 years","Person","325",""
"2008","Estonia","Total","Total","35 years or over","Person","685",""
"2008","Estonia","Total","Males","Total","Person","705",""
"2008","Estonia","Total","Males","Less than 14 years","Person","0",""
"2008","Estonia","Total","Males","From 14 to 17 years","Person","15",""
"2008","Estonia","Total","Males","From 18 to 34 years","Person","245",""
"2008","Estonia","Total","Males","35 years or over","Person","445",""
"2008","Estonia","Total","Females","Total","Person","345",""
"2008","Estonia","Total","Females","Less than 14 years","Person","0",""
"2008","Estonia","Total","Females","From 14 to 17 years","Person","25",""
"2008","Estonia","Total","Females","From 18 to 34 years","Person","80",""
"2008","Estonia","Total","Females","35 years or over","Person","240",""
"2008","Estonia","Total","Unknown","Total","Person",":",""
"2008","Estonia","Total","Unknown","Less than 14 years","Person",":",""
"2008","Estonia","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Estonia","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Estonia","Total","Unknown","35 years or over","Person",":",""
"2008","Ireland","Total","Total","Total","Person","3,185",""
"2008","Ireland","Total","Total","Less than 14 years","Person","515",""
"2008","Ireland","Total","Total","From 14 to 17 years","Person","75",""
"2008","Ireland","Total","Total","From 18 to 34 years","Person","1,745",""
"2008","Ireland","Total","Total","35 years or over","Person","850",""
"2008","Ireland","Total","Males","Total","Person","1,990",""
"2008","Ireland","Total","Males","Less than 14 years","Person","255",""
"2008","Ireland","Total","Males","From 14 to 17 years","Person","40",""
"2008","Ireland","Total","Males","From 18 to 34 years","Person","1,110",""
"2008","Ireland","Total","Males","35 years or over","Person","585",""
"2008","Ireland","Total","Females","Total","Person","1,195",""
"2008","Ireland","Total","Females","Less than 14 years","Person","265",""
"2008","Ireland","Total","Females","From 14 to 17 years","Person","35",""
"2008","Ireland","Total","Females","From 18 to 34 years","Person","630",""
"2008","Ireland","Total","Females","35 years or over","Person","265",""
"2008","Ireland","Total","Unknown","Total","Person",":",""
"2008","Ireland","Total","Unknown","Less than 14 years","Person",":",""
"2008","Ireland","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Ireland","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Ireland","Total","Unknown","35 years or over","Person",":",""
"2008","Greece","Total","Total","Total","Person","106,715",""
"2008","Greece","Total","Total","Less than 14 years","Person","2,575",""
"2008","Greece","Total","Total","From 14 to 17 years","Person","10,545",""
"2008","Greece","Total","Total","From 18 to 34 years","Person","81,335",""
"2008","Greece","Total","Total","35 years or over","Person","12,260",""
"2008","Greece","Total","Males","Total","Person","99,170",""
"2008","Greece","Total","Males","Less than 14 years","Person","1,645",""
"2008","Greece","Total","Males","From 14 to 17 years","Person","10,055",""
"2008","Greece","Total","Males","From 18 to 34 years","Person","76,820",""
"2008","Greece","Total","Males","35 years or over","Person","10,655",""
"2008","Greece","Total","Females","Total","Person","7,545",""
"2008","Greece","Total","Females","Less than 14 years","Person","930",""
"2008","Greece","Total","Females","From 14 to 17 years","Person","490",""
"2008","Greece","Total","Females","From 18 to 34 years","Person","4,515",""
"2008","Greece","Total","Females","35 years or over","Person","1,610",""
"2008","Greece","Total","Unknown","Total","Person",":",""
"2008","Greece","Total","Unknown","Less than 14 years","Person",":",""
"2008","Greece","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Greece","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Greece","Total","Unknown","35 years or over","Person",":",""
"2008","Spain","Total","Total","Total","Person","92,730",""
"2008","Spain","Total","Total","Less than 14 years","Person",":",""
"2008","Spain","Total","Total","From 14 to 17 years","Person",":",""
"2008","Spain","Total","Total","From 18 to 34 years","Person",":",""
"2008","Spain","Total","Total","35 years or over","Person",":",""
"2008","Spain","Total","Males","Total","Person","92,730",""
"2008","Spain","Total","Males","Less than 14 years","Person",":",""
"2008","Spain","Total","Males","From 14 to 17 years","Person",":",""
"2008","Spain","Total","Males","From 18 to 34 years","Person",":",""
"2008","Spain","Total","Males","35 years or over","Person",":",""
"2008","Spain","Total","Females","Total","Person",":",""
"2008","Spain","Total","Females","Less than 14 years","Person",":",""
"2008","Spain","Total","Females","From 14 to 17 years","Person",":",""
"2008","Spain","Total","Females","From 18 to 34 years","Person",":",""
"2008","Spain","Total","Females","35 years or over","Person",":",""
"2008","Spain","Total","Unknown","Total","Person",":",""
"2008","Spain","Total","Unknown","Less than 14 years","Person",":",""
"2008","Spain","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Spain","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Spain","Total","Unknown","35 years or over","Person",":",""
"2008","France","Total","Total","Total","Person","111,690",""
"2008","France","Total","Total","Less than 14 years","Person","0",""
"2008","France","Total","Total","From 14 to 17 years","Person","6,600",""
"2008","France","Total","Total","From 18 to 34 years","Person","105,090",""
"2008","France","Total","Total","35 years or over","Person","0",""
"2008","France","Total","Males","Total","Person","104,855",""
"2008","France","Total","Males","Less than 14 years","Person","0",""
"2008","France","Total","Males","From 14 to 17 years","Person","6,400",""
"2008","France","Total","Males","From 18 to 34 years","Person","98,455",""
"2008","France","Total","Males","35 years or over","Person","0",""
"2008","France","Total","Females","Total","Person","6,840",""
"2008","France","Total","Females","Less than 14 years","Person","0",""
"2008","France","Total","Females","From 14 to 17 years","Person","200",""
"2008","France","Total","Females","From 18 to 34 years","Person","6,635",""
"2008","France","Total","Females","35 years or over","Person","0",""
"2008","France","Total","Unknown","Total","Person",":",""
"2008","France","Total","Unknown","Less than 14 years","Person",":",""
"2008","France","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","France","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","France","Total","Unknown","35 years or over","Person",":",""
"2008","Croatia","Total","Total","Total","Person",":",""
"2008","Croatia","Total","Total","Less than 14 years","Person",":",""
"2008","Croatia","Total","Total","From 14 to 17 years","Person",":",""
"2008","Croatia","Total","Total","From 18 to 34 years","Person",":",""
"2008","Croatia","Total","Total","35 years or over","Person",":",""
"2008","Croatia","Total","Males","Total","Person",":",""
"2008","Croatia","Total","Males","Less than 14 years","Person",":",""
"2008","Croatia","Total","Males","From 14 to 17 years","Person",":",""
"2008","Croatia","Total","Males","From 18 to 34 years","Person",":",""
"2008","Croatia","Total","Males","35 years or over","Person",":",""
"2008","Croatia","Total","Females","Total","Person",":",""
"2008","Croatia","Total","Females","Less than 14 years","Person",":",""
"2008","Croatia","Total","Females","From 14 to 17 years","Person",":",""
"2008","Croatia","Total","Females","From 18 to 34 years","Person",":",""
"2008","Croatia","Total","Females","35 years or over","Person",":",""
"2008","Croatia","Total","Unknown","Total","Person",":",""
"2008","Croatia","Total","Unknown","Less than 14 years","Person",":",""
"2008","Croatia","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Croatia","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Croatia","Total","Unknown","35 years or over","Person",":",""
"2008","Italy","Total","Total","Total","Person","68,175",""
"2008","Italy","Total","Total","Less than 14 years","Person","0",""
"2008","Italy","Total","Total","From 14 to 17 years","Person","0",""
"2008","Italy","Total","Total","From 18 to 34 years","Person","54,315",""
"2008","Italy","Total","Total","35 years or over","Person","13,860",""
"2008","Italy","Total","Males","Total","Person","62,535",""
"2008","Italy","Total","Males","Less than 14 years","Person","0",""
"2008","Italy","Total","Males","From 14 to 17 years","Person","0",""
"2008","Italy","Total","Males","From 18 to 34 years","Person","50,455",""
"2008","Italy","Total","Males","35 years or over","Person","12,085",""
"2008","Italy","Total","Females","Total","Person","5,640",""
"2008","Italy","Total","Females","Less than 14 years","Person","0",""
"2008","Italy","Total","Females","From 14 to 17 years","Person","0",""
"2008","Italy","Total","Females","From 18 to 34 years","Person","3,865",""
"2008","Italy","Total","Females","35 years or over","Person","1,775",""
"2008","Italy","Total","Unknown","Total","Person",":",""
"2008","Italy","Total","Unknown","Less than 14 years","Person",":",""
"2008","Italy","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Italy","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Italy","Total","Unknown","35 years or over","Person",":",""
"2008","Cyprus","Total","Total","Total","Person","7,000",""
"2008","Cyprus","Total","Total","Less than 14 years","Person","290",""
"2008","Cyprus","Total","Total","From 14 to 17 years","Person","195",""
"2008","Cyprus","Total","Total","From 18 to 34 years","Person","4,990",""
"2008","Cyprus","Total","Total","35 years or over","Person","1,525",""
"2008","Cyprus","Total","Males","Total","Person","5,880",""
"2008","Cyprus","Total","Males","Less than 14 years","Person","160",""
"2008","Cyprus","Total","Males","From 14 to 17 years","Person","150",""
"2008","Cyprus","Total","Males","From 18 to 34 years","Person","4,440",""
"2008","Cyprus","Total","Males","35 years or over","Person","1,130",""
"2008","Cyprus","Total","Females","Total","Person","1,125",""
"2008","Cyprus","Total","Females","Less than 14 years","Person","135",""
"2008","Cyprus","Total","Females","From 14 to 17 years","Person","45",""
"2008","Cyprus","Total","Females","From 18 to 34 years","Person","550",""
"2008","Cyprus","Total","Females","35 years or over","Person","395",""
"2008","Cyprus","Total","Unknown","Total","Person",":",""
"2008","Cyprus","Total","Unknown","Less than 14 years","Person",":",""
"2008","Cyprus","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Cyprus","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Cyprus","Total","Unknown","35 years or over","Person",":",""
"2008","Latvia","Total","Total","Total","Person","310",""
"2008","Latvia","Total","Total","Less than 14 years","Person","0",""
"2008","Latvia","Total","Total","From 14 to 17 years","Person","5",""
"2008","Latvia","Total","Total","From 18 to 34 years","Person","150",""
"2008","Latvia","Total","Total","35 years or over","Person","160",""
"2008","Latvia","Total","Males","Total","Person","260",""
"2008","Latvia","Total","Males","Less than 14 years","Person","0",""
"2008","Latvia","Total","Males","From 14 to 17 years","Person","5",""
"2008","Latvia","Total","Males","From 18 to 34 years","Person","130",""
"2008","Latvia","Total","Males","35 years or over","Person","130",""
"2008","Latvia","Total","Females","Total","Person","50",""
"2008","Latvia","Total","Females","Less than 14 years","Person","0",""
"2008","Latvia","Total","Females","From 14 to 17 years","Person","0",""
"2008","Latvia","Total","Females","From 18 to 34 years","Person","20",""
"2008","Latvia","Total","Females","35 years or over","Person","30",""
"2008","Latvia","Total","Unknown","Total","Person",":",""
"2008","Latvia","Total","Unknown","Less than 14 years","Person",":",""
